pointid,grid_code,POINT_X,POINT_Y
77,-120.2614441,-97.279514535167380,26.277797868532502
78,-117.5293884,-97.278438973244647,26.277797868532502
79,-114.7973633,-97.277363411321858,26.277797868532502
80,-114.7973633,-97.276287849399125,26.277797868532502
81,-112.0653381,-97.275212287476222,26.277797868532502
82,-109.3333130,-97.274136725553603,26.277797868532502
83,-109.3333130,-97.273061163630757,26.277797868532502
84,-106.6012878,-97.271985601708025,26.277797868532502
85,-106.6012878,-97.270910039785235,26.277797868532502
86,-109.3333130,-97.269834477862503,26.277797868532502
87,-112.0653381,-97.268758915939770,26.277797868532502
88,-117.5293884,-97.267683354016981,26.277797868532502
89,-125.7254944,-97.266607792094135,26.277797868532502
90,-131.1895447,-97.265532230171402,26.277797868532502
91,-139.3856049,-97.264456668248613,26.277797868532502
92,-144.8496704,-97.263381106325880,26.277797868532502
93,-150.3137207,-97.262305544403148,26.277797868532502
94,-150.3137207,-97.261229982480359,26.277797868532502
95,-150.3137207,-97.260154420557626,26.277797868532502
96,-150.3137207,-97.259078858634723,26.277797868532502
97,-150.3137207,-97.258003296712104,26.277797868532502
98,-150.3137207,-97.256927734789258,26.277797868532502
99,-150.3137207,-97.255852172866526,26.277797868532502
100,-150.3137207,-97.254776610943736,26.277797868532502
101,-150.3137207,-97.253701049021004,26.277797868532502
102,-150.3137207,-97.252625487098101,26.277797868532502
103,-150.3137207,-97.251549925175482,26.277797868532502
104,-150.3137207,-97.250474363252636,26.277797868532502
105,-150.3137207,-97.249398801329903,26.277797868532502
106,-150.3137207,-97.248323239407114,26.277797868532502
107,-150.3137207,-97.247247677484381,26.277797868532502
108,-147.5816956,-97.246172115561649,26.277797868532502
109,-147.5816956,-97.245096553638859,26.277797868532502
110,-147.5816956,-97.244020991716013,26.277797868532502
111,-144.8496704,-97.242945429793281,26.277797868532502
112,-144.8496704,-97.241869867870491,26.277797868532502
113,-144.8496704,-97.240794305947759,26.277797868532502
114,-144.8496704,-97.239718744025026,26.277797868532502
115,-144.8496704,-97.238643182102237,26.277797868532502
116,-144.8496704,-97.237567620179505,26.277797868532502
117,-144.8496704,-97.236492058256601,26.277797868532502
118,-144.8496704,-97.235416496333983,26.277797868532502
119,-144.8496704,-97.234340934411136,26.277797868532502
120,-144.8496704,-97.233265372488404,26.277797868532502
121,-144.8496704,-97.232189810565615,26.277797868532502
122,-144.8496704,-97.231114248642882,26.277797868532502
123,-144.8496704,-97.230038686719979,26.277797868532502
124,-144.8496704,-97.228963124797360,26.277797868532502
